[11:24:56]设备[ID107Plus HR]E7:C1:25:A9:23:99连接了.....
[11:33:40] b5 65
[11:33:41] b5 65
[11:33:42] b5 65
[11:33:43] b5 65
[11:33:44] b4 65
[11:33:45] b4 65
[11:33:46] b4 65
[11:33:47] b3 65
[11:33:48] b3 65
[11:33:49] b3 65
[11:33:50] b3 65
[11:33:51] b4 65
[11:33:52] b4 65
[11:33:53] b4 65
[11:33:54] b4 65
[11:33:55] b4 65
[11:33:56] b4 65
[11:33:57] b4 65
[11:33:58] b4 65
[11:33:59] b5 65
[11:34:00] b5 65
[11:34:01] b7 65
[11:34:02] b8 65
[11:34:03] b8 65
[11:34:04] b7 65
[11:34:05] b7 65
[11:34:06] b6 65
[11:34:07] b6 65
[11:34:08] b5 65
[11:34:09] b6 65
[11:34:10] b6 65
[11:34:11] b7 65
[11:34:12] b8 65
[11:34:13] b7 65
[11:34:14] b7 65
[11:34:15] b7 65
[11:34:16] b7 65
[11:34:17] b7 65
[11:34:18] b7 65
[11:34:19] b7 65
[11:34:20] b6 65
[11:34:21] b6 65
[11:34:22] b6 65
[11:34:23] b6 65
[11:34:24] b6 65
[11:34:25] b6 65
[11:34:26] b7 65
[11:34:27] b7 65
[11:34:28] b9 65
[11:34:29] b9 65
[11:34:30] b9 65
[11:34:31] b9 65
[11:34:32] b8 65
[11:34:33] b8 65
[11:34:34] b8 65
[11:34:35] b7 65
[11:34:36] b7 65
[11:34:37] b7 65
[11:34:38] b7 65
[11:34:39] b7 65
[11:34:40] b6 65
[11:34:41] b6 65
[11:34:42] b6 65
[11:34:43] b6 65
[11:34:44] b5 65
[11:34:45] b5 65
[11:34:46] b5 65
[11:34:47] b4 65
[11:34:48] b4 65
[11:34:49] b3 65
[11:34:50] b3 65
[11:34:51] b3 65
[11:34:52] b3 65
[11:34:53] b3 65
[11:34:54] b3 65
[11:34:55] b3 65
[11:34:56] b4 65
[11:34:57] b4 65
[11:34:58] b4 65
[11:34:59] b4 65
[11:35:00] b4 65
[11:35:01] b5 65
[11:35:02] b5 65
[11:35:03] b5 65
[11:35:04] b5 65
[11:35:05] b5 65
[11:35:06] b5 65
[11:35:07] b6 65
[11:35:08] b7 65
[11:35:09] b8 65
[11:35:10] b9 65
[11:35:11] b9 65
[11:35:12] ba 65
[11:35:13] b9 65
[11:35:14] b9 65
[11:35:15] b8 65
[11:35:16] b8 65
[11:35:17] b9 65
[11:35:18] b9 65
[11:35:19] b9 65
[11:35:20] b9 65
[11:35:21] b9 65
[11:35:22] b9 65
[11:35:23] b8 65
[11:35:24] b8 65
[11:35:25] b8 65
[11:35:26] b8 65
[11:35:27] b8 65
[11:35:28] b8 65
[11:35:29] b7 65
[11:35:30] b7 65
[11:35:31] b7 65
[11:35:32] b7 65
[11:35:33] b7 65
[11:35:34] b7 65
[11:35:35] b7 65
[11:35:36] b7 65
[11:35:37] b7 65
[11:35:38] b6 65
[11:35:39] b5 65
[11:35:40] b5 65
[11:35:41] b5 65
[11:35:42] b5 65
[11:35:43] b6 65
[11:35:44] b6 65
[11:35:45] b6 65
[11:35:46] b6 65
[11:35:47] b6 65
[11:35:48] b5 65
[11:35:49] b5 65
[11:35:50] b5 65
[11:35:51] b6 65
[11:35:52] b6 65
[11:35:53] b6 65
[11:35:54] b6 65
[11:35:55] b5 65
[11:35:56] b5 65
[11:35:57] b4 65
[11:35:58] b4 65
[11:35:59] b4 65
[11:36:00] b4 65
[11:36:01] b5 65
[11:36:02] b5 65
[11:36:03] b5 65
[11:36:04] b5 65
[11:36:05] b5 65
[11:36:06] b6 65
[11:36:07] b6 65
[11:36:08] b7 65
[11:36:09] b7 65
[11:36:10] b8 65
[11:36:11] b8 65
[11:36:12] b7 65
[11:36:13] b7 65
[11:36:14] b6 65
[11:36:15] b6 65
[11:36:16] b6 65
[11:36:17] b7 65
[11:36:18] b7 65
[11:36:19] b8 65
[11:36:20] b9 65
[11:36:21] b8 65
[11:36:22] b8 65
[11:36:23] b8 65
[11:36:24] b9 65
[11:36:25] b9 65
[11:36:26] b9 65
[11:36:27] b9 65
[11:36:28] b9 65
[11:36:29] b9 65
[11:36:30] b9 65
[11:36:31] b8 65
[11:36:32] b8 65
[11:36:33] b8 65
[11:36:34] b8 65
[11:36:35] b8 65
[11:36:36] b9 65
[11:36:37] b9 65
[11:36:38] b8 65
[11:36:39] b8 65
[11:36:40] b7 65
[11:36:41] b7 65
[11:36:42] b7 65
[11:36:43] b7 65
[11:36:44] b6 65
[11:36:45] b6 65
[11:36:46] b6 65
[11:36:47] b6 65
[11:36:48] b6 65
[11:36:49] b5 65
[11:36:50] b5 65
[11:36:51] b5 65
[11:36:52] b4 65
[11:36:53] b4 65
[11:36:54] b4 65
[11:36:55] b3 65
[11:36:56] b3 65
[11:36:57] b2 65
[11:36:58] b2 65
[11:36:59] b2 65
[11:37:00] b2 65
[11:37:01] b2 65
[11:37:02] b2 65
[11:37:03] b2 65
