[16:32:42]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[16:32:47]设备[C5:F7:76:AF:E2:E0断开了.....
[16:32:59]设备[ID107Plus HR]C5:F7:76:AF:E2:E0连接了.....
[16:33:15] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 68 1a 62 00 01 81 
[16:33:15] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 63 1a 62 00 01 82 
[16:33:15] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 61 1a 68 00 01 83 
[16:33:15] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 67 1a 66 00 01 84 
[16:33:16] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 60 1a 60 00 01 85 
[16:33:16] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 62 1a 69 00 01 86 
[16:33:16] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 60 1a 67 00 01 87 
[16:33:16] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 69 1a 60 00 01 88 
[16:33:16] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 60 1a 66 00 01 89 
[16:33:16] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 64 1a 60 00 01 8a 
[16:33:16] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 5e 1a 60 00 01 8b 
[16:33:16] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 6d 1a 66 00 02 8c 
[16:33:16] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 63 1a 62 00 02 8d 
[16:33:16] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 64 1a 63 00 02 8e 
[16:33:16] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 65 1a 63 00 02 8f 
[16:33:16] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 63 1a 5d 00 02 90 
